Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.501275E+03,9.481865E+03
00:30:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.460165E+03,9.439130E+03
00:45:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.419056E+03,9.396390E+03
01:00:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.377947E+03,9.353655E+03
01:15:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.350540E+03,9.325160E+03
01:30:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.323134E+03,9.296671E+03
01:45:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.295728E+03,9.268176E+03
02:00:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.268321E+03,9.239687E+03
02:15:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.247766E+03,9.218319E+03
02:30:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.227212E+03,9.196952E+03
02:45:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.206657E+03,9.175580E+03
03:00:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.186102E+03,9.154213E+03
03:15:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.165548E+03,9.132845E+03
03:30:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.144993E+03,9.111479E+03
03:45:00,4.793504E-01,7.433368E+03,2.548954E-01,0.000000E+00,0.000000E+00,2.548954E-01,0.000000E+00,2.548954E-01,2.124438E+03,9.090107E+03
